,name,rating,reviews,type,hq,old,employees
3431,Unibic Foods,3.9,214,20 years old,,Bangalore +42 more,501-1k Employees
3432,Pratibha Industries,4.6,214,Public,Mumbai +20 more,42 years old,501-1k Employees
3433,Saregama India,4.0,214,Public,Kolkata +33 more,123 years old,201-500 Employees
3434,Jade Global,3.7,214,21 years old,,San Jose +6 more,1k-5k Employees
3435,AIRBUS,3.7,214,Public,Leiden +6 more,54 years old,5k-10k Employees
3436,Hardcastle Restaurants,4.0,214,29 years old,,Mumbai +29 more,5k-10k Employees
3437,Central Institute of Mining and Fuel Research,3.8,214,17 years old,,Dhanbad +14 more,501-1k Employees
3438,Bajaj Energy,4.0,214,Public,Mumbai +14 more,16 years old,501-1k Employees
3439,Banswara Syntex,4.1,214,Public,Banswara +10 more,48 years old,10k-50k Employees
3440,Jade Global,3.7,214,21 years old,,San Jose +6 more,1k-5k Employees
3441,AIRBUS,3.7,214,Public,Leiden +6 more,54 years old,5k-10k Employees
3442,Cadence Design Systems,4.1,214,Public,San Jose +11 more,36 years old,1k-5k Employees
3443,Flyhomes,4.4,214,Startup,Seattle +9 more,9 years old,201-500 Employees
3444,Ichhapurti.com,2.3,214,Startup,,Gurgaon/Gurugram +28 more,51-200 Employees
3445,Foundit,3.6,214,,,,
3446,Jindal Power,4.0,213,Public,New Delhi +18 more,17 years old,5k-10k Employees
3447,Cashpor Micro Credit,3.5,213,22 years old,,Varanasi +37 more,1k-5k Employees
3448,Sundaram Business Services,3.4,213,23 years old,,Chennai +7 more,501-1k Employees
3449,Samsung SDS,3.4,213,Forbes Global 2000,Seoul +17 more,39 years old,1k-5k Employees
3450,Bony Polymers,4.0,213,43 years old,,Faridabad +13 more,201-500 Employees
3451,NTPC GE Power Services,3.5,213,25 years old,,Noida +19 more,51-200 Employees
3452,The Indian Hume Pipe Co.,4.1,213,Public,Mumbai +44 more,98 years old,1k-5k Employees
