,name,rating,reviews,type,hq,old,employees
0,TCS,3.8,71.9k,Public,Mumbai +335 more,56 years old,1 Lakh+ Employees
1,Accenture,4.0,45.5k,Public,Dublin +166 more,35 years old,1 Lakh+ Employees
2,Cognizant,3.9,41k,Forbes Global 2000,Teaneck. New Jersey. +153 more,30 years old,1 Lakh+ Employees
3,Wipro,3.8,36.4k,Public,Bangalore/Bengaluru +268 more,79 years old,1 Lakh+ Employees
4,HDFC Bank,3.9,33.4k,Public,Mumbai +1514 more,30 years old,1 Lakh+ Employees
5,ICICI Bank,4.0,33.1k,Public,Mumbai +1265 more,30 years old,1 Lakh+ Employees
6,Infosys,3.8,31.2k,Public,Bengaluru/Bangalore +169 more,43 years old,1 Lakh+ Employees
7,Capgemini,3.8,29.1k,Public,Paris +123 more,57 years old,1 Lakh+ Employees
8,HCLTech,3.6,27.9k,Public,Noida +179 more,33 years old,1 Lakh+ Employees
9,Tech Mahindra,3.7,27.1k,Public,Pune +258 more,38 years old,1 Lakh+ Employees
10,Genpact,3.9,25.7k,Public,New York +105 more,27 years old,1 Lakh+ Employees
11,Axis Bank,3.8,21.7k,Public,Mumbai +1286 more,31 years old,50k-1 Lakh Employees
12,Concentrix Corporation,3.9,21.4k,Public,Fremont +108 more,41 years old,50k-1 Lakh Employees
13,Teleperformance,3.5,20.5k,Forbes Global 2000,Paris +172 more,46 years old,50k-1 Lakh Employees
14,Amazon,4.1,20.4k,Public,Seattle +434 more,30 years old,1 Lakh+ Employees
15,Reliance Jio,4.0,20.3k,Public,Navi Mumbai +1165 more,17 years old,50k-1 Lakh Employees
16,IBM,4.1,19.5k,Public,Armonk +143 more,113 years old,1 Lakh+ Employees
17,Larsen & Toubro Limited,4.0,18.5k,Public,Mumbai +629 more,86 years old,10k-50k Employees
18,Reliance Retail,3.9,18.5k,18 years old,,Navi Mumbai +978 more,1 Lakh+ Employees
19,HDB Financial Services,4.0,17.8k,17 years old,,Ahmedabad +937 more,1 Lakh+ Employees
20,Vodafone Idea,4.2,15.2k,Public,Mumbai +632 more,6 years old,5k-10k Employees
21,BYJU'S,3.1,14.4k,Indian Unicorn,Bangalore +302 more,13 years old,10k-50k Employees
22,Deloitte,3.9,14.2k,179 years old,,London +153 more,1 Lakh+ Employees
23,Kotak Mahindra Bank,3.8,14k,Public,Mumbai +559 more,21 years old,50k-1 Lakh Employees
24,Reliance Industries,4.0,13.4k,Public,Navi Mumbai +656 more,47 years old,1 Lakh+ Employees
25,Bharti Airtel,4.0,12k,Public,Gurgaon/Gurugram +645 more,29 years old,10k-50k Employees
26,iEnergizer,4.6,11.5k,24 years old,,Noida +25 more,10k-50k Employees
27,Tata Motors,4.2,11.1k,Public,Pune +452 more,79 years old,10k-50k Employees
28,Flipkart,4.1,9.6k,Public,Bangalore +527 more,17 years old,10k-50k Employees
29,WNS,3.5,9.5k,28 years old,,Mumbai +33 more,10k-50k Employees
30,IndusInd Bank,3.7,9k,Public,Gurgaon/Gurugram +675 more,30 years old,10k-50k Employees
31,Ernst & Young,3.6,8.7k,22 years old,,London +96 more,50k-1 Lakh Employees
32,AU Small Finance Bank,4.5,8.7k,Fortune India 500,Jaipur +400 more,28 years old,10k-50k Employees
33,Mahindra & Mahindra,4.2,8.6k,Public,Mumbai +475 more,79 years old,1 Lakh+ Employees
34,Infosys BPM,3.9,8.2k,22 years old,,Bangalore/Bengaluru +65 more,10k-50k Employees
35,DXC Technology,3.8,8.1k,Public,Minato +80 more,7 years old,10k-50k Employees
36,IDFC FIRST Bank,4.0,8k,Public,Warangal +569 more,6 years old,10k-50k Employees
37,Conneqt Business Solutions,3.7,7.6k,22 years old,,Warangal +216 more,10k-50k Employees
38,HDFC Life,4.1,7.5k,Public,Warangal +545 more,24 years old,10k-50k Employees
39,LTIMindtree,3.7,7.5k,Public,Bengaluru/Bangalore +49 more,25 years old,50k-1 Lakh Employees
40,Bajaj Finserv,4.0,7.3k,Public,Pune +855 more,17 years old,50k-1 Lakh Employees
41,Mphasis,3.5,6.8k,Public,Bangalore/Bengaluru +47 more,26 years old,10k-50k Employees
42,PwC,3.6,6.8k,Conglomerate,London +90 more,144 years old,10k-50k Employees
43,HSBC Group,4.1,6.7k,Forbes Global 2000,Pune +57 more,22 years old,10k-50k Employees
44,Samsung,4.1,6.7k,Public,Seoul +501 more,86 years old,50k-1 Lakh Employees
45,Hinduja Global Solutions,3.9,6.7k,Public,Bangalore/Bengaluru +99 more,24 years old,10k-50k Employees
46,Startek,3.2,6.7k,Public,Mumbai +68 more,7 years old,10k-50k Employees
47,Ericsson,4.3,6.5k,Forbes Global 2000,Stockholm +146 more,148 years old,10k-50k Employees
48,Maruti Suzuki,4.2,6.5k,Public,New Delhi +374 more,43 years old,10k-50k Employees
49,Asian Paints,4.0,6.2k,Public,Mumbai +422 more,82 years old,5k-10k Employees
50,Yes Bank,3.9,6.2k,Public,Mumbai +432 more,20 years old,10k-50k Employees
51,Cipla Pharmaceutical,4.1,6.1k,Public,Mumbai +228 more,89 years old,10k-50k Employees
52,Dr. Reddy's,4.1,5.9k,Public,Hyderabad/Secunderabad +155 more,40 years old,10k-50k Employees
53,Sutherland Global Services,3.7,5.9k,38 years old,,Pittsford +53 more,10k-50k Employees
54,UltraTech Cement,4.2,5.8k,Public,Mumbai +425 more,41 years old,10k-50k Employees
55,EXL Service,3.8,5.8k,25 years old,,New York City +44 more,10k-50k Employees
56,Bandhan Bank,3.8,5.8k,Public,Kolkata +737 more,23 years old,50k-1 Lakh Employees
57,Paytm,3.4,5.7k,Public,Noida +306 more,14 years old,10k-50k Employees
58,NTT DATA,4.0,5.7k,Chiyoda City +52 more,,,36 years old
59,ICICI Prudential Life Insurance,4.1,5.6k,Public,Mumbai +446 more,24 years old,10k-50k Employees
60,TATA Steel,4.1,5.5k,Public,Mumbai +165 more,117 years old,1 Lakh+ Employees
61,Jana Small Finance Bank,3.8,5.5k,Public,Bangalore/Bengaluru +346 more,18 years old,10k-50k Employees
62,Bajaj Finance,4.0,5.4k,37 years old,,Pune +755 more,10k-50k Employees
63,Lupin,4.1,5.4k,Public,Mumbai +164 more,56 years old,1k-5k Employees
64,Indian Army,4.7,5.3k,Public,New Delhi +320 more,129 years old,1 Lakh+ Employees
65,HCL Group,3.7,5.3k,48 years old,,Chennai +72 more,1 Lakh+ Employees
66,Udaan,4.0,5.2k,Indian Unicorn,Bangalore +342 more,8 years old,1k-5k Employees
67,L&T Infotech,3.8,5.2k,Public,Mumbai +82 more,28 years old,10k-50k Employees
68,ITC,3.9,5.1k,Public,Kolkata +302 more,49 years old,10k-50k Employees
69,Zydus Lifesciences,4.1,5.1k,Public,Ahmedabad +146 more,72 years old,10k-50k Employees
70,Quess,3.9,5.1k,Public,Bangalore +509 more,17 years old,1k-5k Employees
71,Wells Fargo,4.1,5k,Public,San Francisco +20 more,172 years old,10k-50k Employees
72,Delhivery,4.0,5k,Fortune India 500,Delhi +611 more,13 years old,10k-50k Employees
73,JP Morgan Chase,4.2,4.9k,Forbes Global 2000,New York +32 more,24 years old,50k-1 Lakh Employees
74,Hindustan Unilever,4.2,4.9k,Public,London +416 more,152 years old,10k-50k Employees
75,FIS,3.9,4.9k,56 years old,,Jacksonville +46 more,10k-50k Employees
76,Amazon Development Centre India,4.2,4.8k,Hyderabad/Secunderabad +71 more,,,10k-50k Employees
77,IIFL Finance,3.9,4.7k,Public,Mumbai +654 more,29 years old,10k-50k Employees
78,JSW Steel,3.9,4.6k,Public,Mumbai +137 more,42 years old,10k-50k Employees
79,Hexaware Technologies,3.7,4.6k,Fortune India 500,Mumbai +41 more,34 years old,10k-50k Employees
80,Sun Pharmaceutical Industries,4.1,4.6k,Public,Mumbai +195 more,41 years old,10k-50k Employees
81,Ujjivan Small Finance Bank,4.1,4.5k,Public,Bangalore/Bengaluru +435 more,7 years old,10k-50k Employees
82,Muthoot Finance,3.5,4.4k,Public,Kochi/Cochin +620 more,85 years old,10k-50k Employees
83,Max Life Insurance,4.2,4.4k,24 years old,,Gurgaon/Gurugram +386 more,10k-50k Employees
84,Aurobindo Pharma,4.0,4.4k,Public,Hyderabad/Secunderabad +89 more,38 years old,10k-50k Employees
85,Home Credit Finance,4.1,4.3k,12 years old,,Gurugram +114 more,10k-50k Employees
86,KPMG India,3.6,4.3k,37 years old,,Bengaluru/Bangalore +76 more,10k-50k Employees
87,Shapoorji Pallonji Group,4.2,4.3k,Conglomerate,Mumbai +157 more,159 years old,5k-10k Employees
88,Tata Projects,4.2,4.3k,Public,Mumbai +233 more,45 years old,5k-10k Employees
89,Oracle,3.9,4.3k,Public,Austin +45 more,47 years old,50k-1 Lakh Employees
90,OPPO,3.9,4.2k,Public,Dongguan +367 more,20 years old,10k-50k Employees
91,eClerx,3.4,4.2k,Public,Mumbai +17 more,24 years old,10k-50k Employees
92,L&T Construction,4.0,4.2k,Public,Chennai +337 more,80 years old,5k-10k Employees
93,Shriram Transport Finance,4.1,4.2k,Public,Mumbai +771 more,45 years old,10k-50k Employees
94,Capgemini Technology Services India Limited,4.0,4.2k,Bengaluru/Bangalore +41 more,,,1 Lakh+ Employees
95,Ashok Leyland,4.1,4.2k,Public,Chennai +205 more,76 years old,5k-10k Employees
96,Apollo Hospitals,4.1,4.2k,Public,Chennai +180 more,41 years old,10k-50k Employees
97,Siemens,4.2,4.1k,Public,Munich +126 more,177 years old,5k-10k Employees
98,JLL,4.2,4.1k,Forbes Global 2000,Mumbai +68 more,27 years old,10k-50k Employees
99,Vivo,4.1,4.1k,Conglomerate,Gurgaon/Gurugram +372 more,15 years old,5k-10k Employees
100,Omega Healthcare,3.8,4.1k,21 years old,,Florida +43 more,10k-50k Employees
101,First Source,3.8,4k,Public,Mumbai +52 more,23 years old,10k-50k Employees
102,Megha Engineering & Infrastructures,4.0,4k,Conglomerate,Hyderabad/Secunderabad +289 more,35 years old,5k-10k Employees
103,JustDial,3.6,4k,Public,Mumbai +176 more,28 years old,10k-50k Employees
104,Mahindra & Mahindra Financial Services,4.3,4k,Public,Mumbai +633 more,33 years old,10k-50k Employees
105,Hewlett-Packard Enterprise,4.3,3.9k,Forbes Global 2000,Houston +97 more,9 years old,10k-50k Employees
106,Hero MotoCorp,4.2,3.9k,Public,Gurgaon/Gurugram +309 more,40 years old,5k-10k Employees
107,Bajaj Allianz Life Insurance,4.1,3.9k,23 years old,,Pune +495 more,10k-50k Employees
108,Cyient,3.8,3.8k,Public,Hyderabad/Secunderabad +34 more,33 years old,10k-50k Employees
109,D Mart,3.9,3.8k,Fortune India 500,Mumbai +207 more,24 years old,10k-50k Employees
110,ICICI Lombard General Insurance Company,3.8,3.8k,Public,Mumbai +257 more,23 years old,10k-50k Employees
111,BigBasket,4.0,3.7k,Indian Unicorn,Bangalore +112 more,13 years old,10k-50k Employees
112,Coforge,3.5,3.7k,20 years old,,Noida +85 more,Public
113,Indiamart Intermesh,3.6,3.7k,28 years old,,Noida +135 more,5k-10k Employees
114,Virtusa Consulting Services,3.8,3.7k,28 years old,,Southborough +36 more,10k-50k Employees
115,Hyundai Motor,4.3,3.7k,Fortune India 500,Seoul +273 more,57 years old,10k-50k Employees
116,Equitas Small Finance Bank,4.4,3.6k,Fortune India 500,Chennai +363 more,17 years old,10k-50k Employees
117,TVS Motor,4.0,3.6k,Public,Chennai +273 more,45 years old,5k-10k Employees
118,Manappuram Finance,3.9,3.6k,Public,Thrissur/Trichur +488 more,75 years old,10k-50k Employees
119,GlobalLogic,3.7,3.6k,24 years old,,San Jose +32 more,10k-50k Employees
120,UST,3.8,3.5k,23 years old,,Aliso Viejo +36 more,10k-50k Employees
121,Nagarro,4.2,3.5k,28 years old,,Munich +39 more,10k-50k Employees
122,Atos Syntel,3.5,3.5k,44 years old,,Troy +23 more,5k-10k Employees
123,Reliance Communications,3.9,3.5k,Public,Navi Mumbai +423 more,22 years old,201-500 Employees
124,SBI Cards & Payment Services,3.7,3.5k,Gurgaon/Gurugram +330 more,,,26 years old
125,IQVIA,4.1,3.5k,Forbes Global 2000,Durham +41 more,42 years old,10k-50k Employees
126,Cummins,4.4,3.5k,Fortune India 500,Columbus +103 more,62 years old,1k-5k Employees
127,Bosch Global Software Technologies,4.1,3.5k,34 years old,,Gerlingen +28 more,10k-50k Employees
128,Bosch,4.3,3.5k,Public,Gerlingen +97 more,138 years old,5k-10k Employees
129,SMFG India Credit,4.1,3.4k,17 years old,,Mumbai +480 more,10k-50k Employees
130,Ekart Logistics,4.1,3.4k,15 years old,,San Francisco +557 more,1k-5k Employees
131,Cholamandalam Investment & Finance,4.0,3.4k,Fortune India 500,Chennai +626 more,46 years old,10k-50k Employees
132,BNY Mellon,4.1,3.4k,Forbes Global 2000,New York City +14 more,20 years old,10k-50k Employees
133,Schneider Electric,4.1,3.4k,Forbes Global 2000,Paris +109 more,25 years old,10k-50k Employees
134,Oyo Rooms,3.4,3.4k,Indian Unicorn,Gurgaon +117 more,11 years old,1k-5k Employees
135,Amdocs,4.0,3.4k,Forbes Global 2000,Chesterfield +15 more,42 years old,10k-50k Employees
136,L&T Technology Services,3.4,3.3k,Public,Vadodara/Baroda +46 more,12 years old,10k-50k Employees
137,BT Group,4.1,3.3k,Forbes Global 2000,London +18 more,178 years old,10k-50k Employees
138,CBRE,4.2,3.3k,Forbes Global 2000,Los Angeles +69 more,118 years old,10k-50k Employees
139,State Bank of India,3.7,3.3k,Fortune India 500,Mumbai +474 more,218 years old,1 Lakh+ Employees
140,JBM Group,4.0,3.3k,Public,Gurgaon/Gurugram +88 more,41 years old,1k-5k Employees
141,Swiggy,3.9,3.2k,Indian Unicorn,Bangalore +177 more,10 years old,5k-10k Employees
142,Ecom Express,4.1,3.2k,12 years old,,Gurgaon +610 more,10k-50k Employees
143,Dell,4.2,3.2k,Forbes Global 2000,Round Rock +98 more,40 years old,10k-50k Employees
144,Future Group,4.3,3.2k,Conglomerate,Mumbai +201 more,11 years old,10k-50k Employees
145,SBI Life Insurance Company,3.8,3.2k,23 years old,,Mumbai +516 more,10k-50k Employees
146,Bajaj Auto,3.8,3.2k,Public,Pune +244 more,79 years old,5k-10k Employees
147,Optum,4.0,3.2k,47 years old,,Prairie +28 more,10k-50k Employees
148,Nagarjuna Construction Company,4.1,3.1k,Public,Hyderabad/Secunderabad +218 more,26 years old,5k-10k Employees
149,KEC International,4.1,3.1k,Public,Mumbai +265 more,79 years old,5k-10k Employees
150,Piramal Capital Housing Finance,4.2,3.1k,4 years old,,Mumbai +322 more,1k-5k Employees
151,Muthoot Fincorp,4.0,3.1k,Conglomerate,Trivandrum/Thiruvananthapuram +530 more,137 years old,10k-50k Employees
152,Aditya Birla Fashion and Retail,4.2,3k,Fortune India 500,Mumbai +223 more,9 years old,10k-50k Employees
153,Royal Enfield,4.2,3k,123 years old,,Gurgaon/Gurugram +300 more,5k-10k Employees
154,Viatris,4.2,3k,Forbes Global 2000,Canonsburg +70 more,63 years old,10k-50k Employees
155,Kogta Financial India Limited,4.8,3k,Public,Jaipur +206 more,28 years old,1k-5k Employees
156,Samvardhana Motherson Group,3.8,3k,Public,Noida +75 more,38 years old,1k-5k Employees
157,L&T Finance,4.0,3k,Public,Mumbai +468 more,30 years old,10k-50k Employees
158,Tata Communications,4.1,3k,Public,Mumbai +89 more,38 years old,5k-10k Employees
159,LG Electronics,4.0,2.9k,Public,Seoul +246 more,66 years old,1k-5k Employees
160,Intas Pharmaceuticals,4.1,2.9k,Fortune India 500,Ahmedabad +112 more,24 years old,10k-50k Employees
161,John Deere,4.3,2.9k,Fortune India 500,Moline +117 more,23 years old,5k-10k Employees
162,Godrej & Boyce Manufacturing,3.9,2.9k,Fortune India 500,Mumbai +129 more,127 years old,10k-50k Employees
163,Varun Beverages,4.0,2.9k,Public,Gurgaon/Gurugram +275 more,29 years old,5k-10k Employees
164,Randstad,3.9,2.8k,Conglomerate,Chennai +257 more,32 years old,5k-10k Employees
165,Thermax Limited,4.2,2.8k,Public,Pune +175 more,58 years old,1k-5k Employees
166,Persistent Systems,3.8,2.8k,Public,Pune +31 more,34 years old,10k-50k Employees
167,Hetero Drugs,3.8,2.8k,31 years old,,Hyderabad/Secunderabad +44 more,1k-5k Employees
168,Havells,4.1,2.8k,Public,Noida +176 more,41 years old,5k-10k Employees
169,Deutsche Bank,4.1,2.8k,Fortune India 500,Frankfurt +37 more,154 years old,10k-50k Employees
170,Macleods Pharmaceuticals,3.7,2.8k,Public,Mumbai +96 more,38 years old,10k-50k Employees
171,Whitehat jr,3.5,2.8k,Startup,Mumbai +50 more,6 years old,5k-10k Employees
172,CARS24,3.6,2.8k,Indian Unicorn,Gurgaon +150 more,9 years old,5k-10k Employees
173,Sodexo,4.1,2.8k,Forbes Global 2000,Issy les Moulineaux +129 more,16 years old,10k-50k Employees
174,Abbott Healthcare,4.1,2.7k,Public,Illinois City +170 more,33 years old,10k-50k Employees
175,Subros,3.9,2.7k,Public,Noida +56 more,39 years old,1k-5k Employees
176,Team Lease,3.9,2.7k,Public,Bangalore/Bengaluru +301 more,8 years old,1k-5k Employees
177,Ford Motor,4.4,2.7k,Public,Dearborn +110 more,121 years old,5k-10k Employees
178,VE Commercial Vehicles,4.0,2.7k,Gurgaon/Gurugram +125 more,,,16 years old
179,Indian Oil Corporation,4.4,2.7k,Fortune India 500,Delhi/NCR +251 more,65 years old,10k-50k Employees
180,Automatic Data Processing (ADP),4.1,2.7k,Forbes Global 2000,New Jersey +23 more,75 years old,1k-5k Employees
181,American Express,4.3,2.7k,Forbes Global 2000,New York City +44 more,174 years old,10k-50k Employees
182,Cgi Group,4.1,2.7k,Forbes Global 2000,Montreal +23 more,48 years old,10k-50k Employees
183,Tata Capital,4.2,2.7k,Fortune India 500,Mumbai +224 more,17 years old,5k-10k Employees
184,Bharat Electronics,4.1,2.7k,Fortune India 500,Bangalore/Bengaluru +45 more,70 years old,5k-10k Employees
185,Standard Chartered Bank,3.9,2.6k,Fortune India 500,London +57 more,55 years old,10k-50k Employees
186,UnitedHealth,4.1,2.6k,Forbes Global 2000,Minnetonka +15 more,47 years old,10k-50k Employees
187,R1 RCM,3.9,2.6k,17 years old,,Murray +32 more,5k-10k Employees
188,Alembic Pharmaceuticals,4.0,2.6k,Public,Vadodara/Baroda +146 more,117 years old,10k-50k Employees
189,Access Healthcare,3.9,2.6k,13 years old,,Dallas +30 more,5k-10k Employees
190,Pidilite Industries,4.4,2.6k,Public,Mumbai +228 more,65 years old,5k-10k Employees
191,Hindalco Industries,4.2,2.6k,Public,Mumbai +85 more,66 years old,10k-50k Employees
192,Alkem Laboratories,3.9,2.6k,Public,Mumbai +156 more,51 years old,10k-50k Employees
193,Publicis Sapient,3.6,2.6k,34 years old,,New York +25 more,10k-50k Employees
194,Tata AIA Life Insurance,4.1,2.6k,23 years old,,Mumbai +312 more,10k-50k Employees
195,Atos,3.8,2.6k,Forbes Global 2000,Vilnius +39 more,27 years old,10k-50k Employees
196,ITC Infotech,3.6,2.6k,24 years old,,Bangalore/Bengaluru +51 more,10k-50k Employees
197,DCB Bank,3.9,2.6k,Fortune India 500,Mumbai +303 more,94 years old,5k-10k Employees
198,Aakash Educational Services,3.6,2.5k,36 years old,,New Delhi +202 more,5k-10k Employees
199,Indian Air Force,4.7,2.5k,92 years old,,New Delhi +109 more,1 Lakh+ Employees
200,Hindustan Coca Cola Beverages,4.3,2.5k,27 years old,,Bangalore +211 more,5k-10k Employees
201,Vishal Mega Mart,3.7,2.5k,16 years old,,Gurgaon/Gurugram +313 more,10k-50k Employees
202,Utkarsh Small Finance Bank,3.8,2.5k,Public,Varanasi +287 more,15 years old,10k-50k Employees
203,Glenmark Pharmaceuticals,4.0,2.5k,Public,Mumbai +140 more,47 years old,10k-50k Employees
204,Barclays,4.1,2.5k,Forbes Global 2000,London +31 more,334 years old,10k-50k Employees
205,Ipca Laboratories,4.0,2.5k,Public,Mumbai +124 more,75 years old,10k-50k Employees
206,Maersk,4.3,2.5k,120 years old,,Copenhagen +36 more,10k-50k Employees
207,Wipro Infotech,4.1,2.5k,MNC,Bangalore +116 more,79 years old,1 Lakh+ Employees (Global)
208,ABB Group,4.1,2.5k,Public,Zurich +94 more,36 years old,1k-5k Employees
209,Jindal Steel and Power,3.9,2.5k,Fortune India 500,Delhi/NCR +116 more,45 years old,5k-10k Employees
210,Aarti Industries,4.1,2.4k,Public,Mumbai +42 more,49 years old,5k-10k Employees
211,DTDC Express,3.8,2.4k,34 years old,,Bangalore/Bengaluru +224 more,1k-5k Employees
212,Berger Paints,3.7,2.4k,Public,Kolkata +234 more,101 years old,1k-5k Employees
213,Bank of America,4.4,2.4k,Fortune India 500,Charlotte +30 more,26 years old,10k-50k Employees
214,Honda Motorcycle & Scooter,4.2,2.4k,25 years old,,Gurgaon/Gurugram +212 more,10k-50k Employees
215,24/7 Customer,3.6,2.4k,24 years old,,San Jose +24 more,5k-10k Employees
216,NatWest Group,4.1,2.4k,Forbes Global 2000,,Gurgaon/Gurugram +22 more,10k-50k Employees
217,CMS IT Services,3.1,2.4k,Startup,Bangalore +137 more,10 years old,5k-10k Employees
218,MRF Tyres,3.7,2.4k,Public,Chennai +162 more,78 years old,10k-50k Employees
219,Wipro Consumer Care & Lighting,3.9,2.4k,79 years old,,Bangalore/Bengaluru +93 more,1k-5k Employees
220,Johnson Controls,3.8,2.4k,Public,Cork +48 more,139 years old,5k-10k Employees
221,Reliance Nippon Life Insurance,3.9,2.4k,24 years old,,Mumbai +429 more,10k-50k Employees
222,HDFC Ergo General Insurance,4.0,2.4k,Public,Mumbai +225 more,22 years old,10k-50k Employees
223,PolicyBazaar,3.5,2.4k,Public,Gurgaon +81 more,16 years old,10k-50k Employees
224,Carelon Global Solutions,4.0,2.4k,Hyderabad/Secunderabad +10 more,,,10k-50k Employees
225,RBL Bank,3.7,2.4k,Public,Mumbai +219 more,81 years old,10k-50k Employees
226,Axis Direct,4.0,2.4k,13 years old,,San Mateo +271 more,1k-5k Employees
227,Cogent E Services,3.3,2.4k,Conglomerate,Noida +35 more,20 years old,10k-50k Employees
228,Marpu Foundation,4.9,2.4k,8 years old,,Hyderabad/Secunderabad +53 more,51-200 Employees
229,PNB MetLife,3.4,2.4k,Conglomerate,Mumbai +319 more,23 years old,5k-10k Employees
230,Paras Hospital,4.6,2.4k,18 years old,,Gurgaon/Gurugram +41 more,1k-5k Employees
231,GeBBS Healthcare Solutions,3.7,2.4k,19 years old,,Culver City +18 more,5k-10k Employees
232,Ceat Tyres,4.0,2.4k,Public,Mumbai +111 more,66 years old,5k-10k Employees
233,Reliance Digital,4.3,2.3k,17 years old,,Mumbai +298 more,5k-10k Employees
234,Kotak Mahindara Life Insurance,3.8,2.3k,Public,Mumbai +206 more,23 years old,10k-50k Employees
235,Conduent,3.5,2.3k,7 years old,,Florham Park +21 more,5k-10k Employees
236,Jubilant Foods Works,3.8,2.3k,Public,Noida +190 more,29 years old,10k-50k Employees
237,Dabur,3.8,2.3k,Public,Ghaziabad +244 more,140 years old,5k-10k Employees
238,JK Cement,4.1,2.3k,Public,Gurgaon/Gurugram +231 more,50 years old,1k-5k Employees
239,Shoppers Stop,4.1,2.3k,Public,Mumbai +62 more,33 years old,5k-10k Employees
240,IndiGo,3.5,2.3k,Fortune India 500,Gurgaon/Gurugram +88 more,19 years old,10k-50k Employees
241,GATI-KWE,4.0,2.3k,12 years old,,Hyderabad/Secunderabad +157 more,1k-5k Employees
242,Indiabulls Home Loans,3.8,2.3k,Public,Gurgaon/Gurugram +185 more,19 years old,5k-10k Employees
243,ACC,3.9,2.3k,Public,Mumbai +209 more,88 years old,5k-10k Employees
244,Reliance SMSL,3.9,2.3k,Public,Mumbai +478 more,17 years old,1k-5k Employees
245,ArcelorMittal Nippon Steel,4.0,2.2k,Conglomerate,,Surat +65 more,5k-10k Employees
246,Synechron,3.9,2.2k,23 years old,,New York +26 more,5k-10k Employees
247,S&P Global,4.2,2.2k,Public,New York City +25 more,107 years old,10k-50k Employees
248,Birlasoft,3.7,2.2k,Public,Pune +33 more,29 years old,10k-50k Employees
249,PepsiCo,4.1,2.2k,Forbes Global 2000,Harrison +228 more,35 years old,1 Lakh+ Employees
250,Lenskart,3.2,2.2k,Indian Unicorn,Faridabad +158 more,14 years old,5k-10k Employees
251,KPIT Technologies,3.6,2.2k,Public,Pune +28 more,34 years old,5k-10k Employees
252,Torrent Pharmaceuticals,3.9,2.2k,Public,Ahmedabad +98 more,53 years old,10k-50k Employees
253,UPL,4.1,2.2k,Public,Mumbai +155 more,55 years old,5k-10k Employees
254,Square Yards,3.9,2.2k,11 years old,,Gurgaon +41 more,1k-5k Employees
255,Titan Company,4.4,2.2k,Public,Bangalore +137 more,40 years old,5k-10k Employees
256,HARMAN,3.8,2.2k,Public,Stamford +28 more,15 years old,5k-10k Employees
257,RSPL Group,4.1,2.2k,37 years old,,Mumbai +198 more,10k-50k Employees
258,Wipro Enterprises Ltd,3.9,2.2k,79 years old,,Bangalore +91 more,501-1k Employees
259,Dilip Buildcon,4.0,2.2k,Public,Bhopal +181 more,37 years old,10k-50k Employees
260,AGS Health,4.0,2.2k,13 years old,,Washington DC +36 more,10k-50k Employees
261,Tata AIG,4.2,2.2k,24 years old,,Mumbai +220 more,5k-10k Employees
262,TVS Credit,4.5,2.2k,Public,Chennai +301 more,16 years old,10k-50k Employees
263,Bajaj Electricals,4.0,2.1k,Public,Mumbai +191 more,86 years old,1k-5k Employees
264,Statestreet HCL Services,3.2,2.1k,12 years old,,New Delhi +16 more,5k-10k Employees
265,Tech Mahindra Business Services,3.5,2.1k,Public,Mumbai +44 more,21 years old,5k-10k Employees
266,Escorts Kubota Limited,4.1,2.1k,Public,Faridabad +124 more,64 years old,1k-5k Employees
267,IGT Solutions,3.3,2.1k,26 years old,,Gurgaon/Gurugram +27 more,5k-10k Employees
268,Simplex Infrastructures,3.3,2.1k,Public,Kolkata +131 more,100 years old,1k-5k Employees
269,AFCONS Infrastructure,4.3,2.1k,65 years old,,Mumbai +94 more,5k-10k Employees
270,Apollo Tyres,4.1,2.1k,Public,Gurgaon/Gurugram +148 more,52 years old,5k-10k Employees
271,Alstom Transportation,3.9,2.1k,Forbes Global 2000,Saint-Ouen +64 more,96 years old,5k-10k Employees
272,EY Global Delivery Services ( EY GDS),3.7,2.1k,22 years old,,Bangalore/Bengaluru +38 more,50k-1 Lakh Employees
273,Birla Sun Life Insurance,4.2,2.1k,24 years old,,Mumbai +364 more,10k-50k Employees
274,Domino's Pizza,4.0,2.1k,Public,Ypsilanti +212 more,64 years old,1k-5k Employees
275,Mankind Pharma,4.1,2.1k,Fortune India 500,New Delhi +188 more,29 years old,10k-50k Employees
276,Suzlon Group,4.1,2.1k,Public,Pune +106 more,29 years old,5k-10k Employees
277,Capita,3.8,2.1k,19 years old,,Indore +22 more,5k-10k Employees
278,Huawei Technologies,4.0,2.1k,22 years old,,Gurgaon/Gurugram +98 more,51-200 Employees
279,Flex,4.1,2.1k,Forbes Global 2000,San Jose +38 more,55 years old,5k-10k Employees
280,KocharTech,4.1,2.1k,29 years old,,Gurgaon/Gurugram +24 more,1k-5k Employees
281,IDFC FIRST Bharat,4.6,2.1k,8 years old,,Tiruchirappalli +290 more,10k-50k Employees
282,Zensar Technologies,3.8,2.1k,Public,Pune +22 more,23 years old,5k-10k Employees
283,McDonald's,4.2,2k,Forbes Global 2000,Chicago +134 more,69 years old,1k-5k Employees
284,Max Healthcare,4.1,2k,Fortune India 500,Delhi/NCR +57 more,23 years old,1k-5k Employees
285,Tata Technologies,3.7,2k,Conglomerate,Singapore +40 more,35 years old,5k-10k Employees
286,ElasticRun,3.3,2k,Indian Unicorn,Pune +341 more,8 years old,1k-5k Employees
287,Bajaj Allianz General Insurance,4.0,2k,Pune +205 more,,,5k-10k Employees
